 ID,DATA E HORA,TQ SUSPENSÃO,VEL_1_RPM, VEL_5_RPM,COZEDOR, TEMP AMOSTRA C°,ASPECTO
1292,8/7/2023 2:34:00 PM,Tanque 1002,131600,38560,Therlet 4,23,OK
1296,8/7/2023 4:30:00 PM,Tanque 1001,135000,38600,Therlet 4,23,OK
1298,8/7/2023 5:33:00 PM,Tanque 1002,138800,39440,Therlet 4,24,OK
1302,8/7/2023 7:33:00 PM,Tanque 1002,136800,39760,Therlet 4,24,OK
1306,8/7/2023 9:35:00 PM,Tanque 1001,133600,39920,Therlet 4,24,OK
1314,8/8/2023 1:30:00 AM,Tanque 1003,132000,37600,Therlet 4,23,OK
1318,8/8/2023 3:30:00 AM,Tanque 1003,130400,39600,Therlet 4,23,OK
1321,8/8/2023 5:30:00 AM,Tanque 1001,151200,42720,Therlet 4,23,OK
1325,8/8/2023 3:30:00 PM,Tanque 1002,122800,37200,Therlet 4,25,OK
1326,8/8/2023 4:30:00 PM,Tanque 1003,139200,38800,Therlet 4,23,OK
1330,8/8/2023 6:33:00 PM,Tanque 1002,134800,39520,Therlet 4,23,OK
1333,8/8/2023 8:34:00 PM,Tanque 1001,127200,38480,Therlet 4,23,OK
1336,8/8/2023 9:35:00 PM,Tanque 1002,127600,39360,Therlet 4,23,OK
1339,8/8/2023 10:30:00 PM,Tanque 1003,151600,44400,Therlet 4,23,OK
1345,8/9/2023 1:30:00 AM,Tanque 1003,133600,39360,Therlet 4,24,OK
1349,8/9/2023 3:30:00 AM,Tanque 1003,123600,39720,Therlet 4,24,OK
1350,8/9/2023 4:30:00 AM,Tanque 1003,136000,38160,Therlet 4,25,OK
1354,8/9/2023 4:34:00 PM,Tanque 1003,134800,40320,Therlet 4,24,OK
1357,8/9/2023 6:33:00 PM,Tanque 1002,141600,41840,Therlet 4,23,OK
1360,8/9/2023 8:25:00 PM,Tanque 1003,139600,41520,Therlet 4,24,OK
1363,8/9/2023 9:33:00 PM,Tanque 1002,135200,40640,Therlet 4,23,OK
1369,8/10/2023 12:30:00 AM,Tanque 1002,130000,36240,Therlet 4,22,OK
1372,8/10/2023 2:46:00 AM,Tanque 1001,135000,39120,Therlet 4,24,OK
1376,8/10/2023 4:30:00 AM,Tanque 1003,122000,36880,Therlet 4,22,OK
1381,8/10/2023 3:32:00 PM,Tanque 1001,132800,39440,Therlet 4,26,OK
1383,8/10/2023 4:27:00 PM,Tanque 1002,138000,40320,Therlet 4,23,OK
1385,8/10/2023 5:26:00 PM,Tanque 1003,129200,38640,Therlet 4,26,OK
1387,8/10/2023 6:31:00 PM,Tanque 1001,133600,38720,Therlet 4,26,OK
